Document,Date,Author,Unique Agent Target,Back-likelihood-binarized-by-rule,Back-likelihood,Back-strength,Build-likelihood-binarized-by-rule,Build-likelihood,Build-strength,Bridge-likelihood-binarized-by-rule,Bridge-likelihood,Bridge-strength,Boost-likelihood-binarized-by-rule,Boost-likelihood,Boost-strength,Excite-likelihood-binarized-by-rule,Excite-likelihood,Excite-strength,Engage-likelihood-binarized-by-rule,Engage-likelihood,Engage-strength,Explain-likelihood-binarized-by-rule,Explain-likelihood,Explain-strength,Enhance-likelihood-binarized-by-rule,Enhance-likelihood,Enhance-strength,Neutralize-likelihood-binarized-by-rule,Neutralize-likelihood,Neutralize-strength,Negate-likelihood-binarized-by-rule,Negate-likelihood,Negate-strength,Narrow-likelihood-binarized-by-rule,Narrow-likelihood,Narrow-strength,Neglect-likelihood-binarized-by-rule,Neglect-likelihood,Neglect-strength,Dismay-likelihood-binarized-by-rule,Dismay-likelihood,Dismay-strength,Dismiss-likelihood-binarized-by-rule,Dismiss-likelihood,Dismiss-strength,Distort-likelihood-binarized-by-rule,Distort-likelihood,Distort-strength,Distract-likelihood-binarized-by-rule,Distract-likelihood,Distract-strength,
"RT @usembassytokyo: Illegal, unreported, and unregulated (IUU) fishing causes tens of billions of dollars of lost revenue to legal fishers every year. @USCG cooperates with allies and partners around the Pacific to help enforce laws and protect fishing stocks. #ourocean2022 #FreeandOpenIndoPacific https://t.co/Yfo7Ix9G3z",2022-04-08 04:19:19-04,Orchid212X1,usembassytokyo,1,1,0.767,1,0.389,0.333,1,0.267,0.250,1,0.333,0.333,1,0.451,0.284,1,1,0.681,0,0.364,0.295,1,1,0.783,0,0,0,1,0.256,0.173,1,0.400,0.100,1,0.333,0.333,1,0.351,0.237,1,0.250,0.109,0,0,0,1,0.333,0.208,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 04:19:17-04,tofogfan,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 04:18:51-04,2019_yoshiko,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @usembassytokyo: Illegal, unreported, and unregulated (IUU) fishing causes tens of billions of dollars of lost revenue to legal fishers every year. @USCG cooperates with allies and partners around the Pacific to help enforce laws and protect fishing stocks. #ourocean2022 #FreeandOpenIndoPacific https://t.co/Yfo7Ix9G3z",2022-04-08 04:17:55-04,wadakashiho,usembassytokyo,1,1,0.767,1,0.389,0.333,1,0.267,0.250,1,0.333,0.333,1,0.451,0.284,1,1,0.681,0,0.364,0.295,1,1,0.783,0,0,0,1,0.256,0.173,1,0.400,0.100,1,0.333,0.333,1,0.351,0.237,1,0.250,0.109,0,0,0,1,0.333,0.208,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 04:11:01-04,jhop4749,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @PacificMarines: U.S. Marine Corps Forces, Pacific, takes great pleasure in wishing the Japan Amphibious Rapid Deployment Brigade a happy birthday. @USMC @JGSDF_pr. #日米同盟 #日米友好 #協力 #freeandopenindopacific #水陸機動団 #AmphibiousRapidDeployment #陸上自衛隊 #JapanGroundSelfDefenseForce https://t.co/6nFhRBTdQu",2022-04-08 04:04:39-04,woMfbJKqIvydpRP,PacificMarines,1,1,0.728,1,0.556,0.417,1,0.467,0.200,1,0.444,0.278,1,0.275,0.186,1,1,0.681,1,0.545,0.409,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.123,0.083,0,0.062,0.016,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #USSTripoli steams through the #PacificOcean while conducting flight operations as part of @PacificMarines Lightning carrier concept demonstration. #FreeAndOpenIndoPacific #Readiness #Lethality   : MC3 Christopher Sypert https://t.co/adOGyd8wHc,2022-04-08 04:04:34-04,woMfbJKqIvydpRP,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.147,1,1,0.681,0,0.455,0.364,1,1,0.700,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.066,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 04:02:13-04,woMfbJKqIvydpRP,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 04:02:04-04,BarryRush7987,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 04:00:14-04,shank4556,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:59:15-04,f86d_,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:53:31-04,Mabel_Danger,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:52:29-04,Carcharodondon,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:51:27-04,MyriadCsPhantom,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:51:19-04,Tinker_Sparked,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:36:47-04,ChiangM87627691,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:29:19-04,bellodipper,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:29:05-04,SOG55585235,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #USSTripoli steams through the #PacificOcean while conducting flight operations as part of @PacificMarines Lightning carrier concept demonstration. #FreeAndOpenIndoPacific #Readiness #Lethality   : MC3 Christopher Sypert https://t.co/adOGyd8wHc,2022-04-08 03:26:11-04,142Countries,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.147,1,1,0.681,0,0.455,0.364,1,1,0.700,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.066,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:25:10-04,ynsato_,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:25:09-04,killedbydeath8,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:24:22-04,nocchi_LV_0409,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:20:48-04,Mthatcher1Karen,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:20:37-04,YokotaAirBase,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #USSTripoli steams through the #PacificOcean while conducting flight operations as part of @PacificMarines Lightning carrier concept demonstration. #FreeAndOpenIndoPacific #Readiness #Lethality   : MC3 Christopher Sypert https://t.co/adOGyd8wHc,2022-04-08 03:12:41-04,Martinacuna1965,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.147,1,1,0.681,0,0.455,0.364,1,1,0.700,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.066,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:09:57-04,JANET_redstar,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #USSTripoli steams through the #PacificOcean while conducting flight operations as part of @PacificMarines Lightning carrier concept demonstration. #FreeAndOpenIndoPacific #Readiness #Lethality   : MC3 Christopher Sypert https://t.co/adOGyd8wHc,2022-04-08 03:06:42-04,2020ReasonLee,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.147,1,1,0.681,0,0.455,0.364,1,1,0.700,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.066,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @PacificMarines: U.S. Marine Corps Forces, Pacific, takes great pleasure in wishing the Japan Amphibious Rapid Deployment Brigade a happy birthday. @USMC @JGSDF_pr. #日米同盟 #日米友好 #協力 #freeandopenindopacific #水陸機動団 #AmphibiousRapidDeployment #陸上自衛隊 #JapanGroundSelfDefenseForce https://t.co/6nFhRBTdQu",2022-04-08 03:06:04-04,2019_yoshiko,PacificMarines,1,1,0.728,1,0.556,0.417,1,0.467,0.200,1,0.444,0.278,1,0.275,0.186,1,1,0.681,1,0.545,0.409,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.123,0.083,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 03:03:23-04,WINDVONDERVENUS,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @PacificMarines: U.S. Marine Corps Forces, Pacific, takes great pleasure in wishing the Japan Amphibious Rapid Deployment Brigade a happy birthday. @USMC @JGSDF_pr. #日米同盟 #日米友好 #協力 #freeandopenindopacific #水陸機動団 #AmphibiousRapidDeployment #陸上自衛隊 #JapanGroundSelfDefenseForce https://t.co/6nFhRBTdQu",2022-04-08 02:43:27-04,NAKA70715533,PacificMarines,1,1,0.728,1,0.556,0.417,1,0.467,0.200,1,0.444,0.278,1,0.275,0.186,1,1,0.681,1,0.545,0.409,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.123,0.083,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 02:35:29-04,ABranger_wife,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 02:30:39-04,ShellyForce1,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @PacificMarines: U.S. Marine Corps Forces, Pacific, takes great pleasure in wishing the Japan Amphibious Rapid Deployment Brigade a happy birthday. @USMC @JGSDF_pr. #日米同盟 #日米友好 #協力 #freeandopenindopacific #水陸機動団 #AmphibiousRapidDeployment #陸上自衛隊 #JapanGroundSelfDefenseForce https://t.co/6nFhRBTdQu",2022-04-08 02:21:22-04,wadakashiho,PacificMarines,1,1,0.728,1,0.556,0.417,1,0.467,0.200,1,0.444,0.278,1,0.275,0.186,1,1,0.681,1,0.545,0.409,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.123,0.083,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 02:02:22-04,laniemon,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 01:56:36-04,Nori_cb,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 01:48:41-04,Heathermarymag,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @PacificMarines: U.S. Marine Corps Forces, Pacific, takes great pleasure in wishing the Japan Amphibious Rapid Deployment Brigade a happy birthday. @USMC @JGSDF_pr. #日米同盟 #日米友好 #協力 #freeandopenindopacific #水陸機動団 #AmphibiousRapidDeployment #陸上自衛隊 #JapanGroundSelfDefenseForce https://t.co/6nFhRBTdQu",2022-04-08 01:46:04-04,HiroGallery,PacificMarines,1,1,0.728,1,0.556,0.417,1,0.467,0.200,1,0.444,0.278,1,0.275,0.186,1,1,0.681,1,0.545,0.409,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.123,0.083,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @PacificMarines: U.S. Marine Corps Forces, Pacific, takes great pleasure in wishing the Japan Amphibious Rapid Deployment Brigade a happy birthday. @USMC @JGSDF_pr. #日米同盟 #日米友好 #協力 #freeandopenindopacific #水陸機動団 #AmphibiousRapidDeployment #陸上自衛隊 #JapanGroundSelfDefenseForce https://t.co/6nFhRBTdQu",2022-04-08 01:44:53-04,Japan_GSDF,PacificMarines,1,1,0.728,1,0.556,0.417,1,0.467,0.200,1,0.444,0.278,1,0.275,0.186,1,1,0.681,1,0.545,0.409,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.123,0.083,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 01:43:35-04,blackkey_kirito,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #USSTripoli steams through the #PacificOcean while conducting flight operations as part of @PacificMarines Lightning carrier concept demonstration. #FreeAndOpenIndoPacific #Readiness #Lethality   : MC3 Christopher Sypert https://t.co/adOGyd8wHc,2022-04-08 01:43:20-04,yasuhito_0722,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.147,1,1,0.681,0,0.455,0.364,1,1,0.700,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.066,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 01:40:49-04,matiere,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 01:40:39-04,DzirhanDefence,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
"RT @INDOPACOM: A V-22 Osprey assigned to the 21st Special Operations Squadron and @PACAF C-12 Huron assigned to the 459th Airlift Squadron fly over @374AirliftWing, , during a training mission. #FreeAndOpenIndoPacific #Readiness #Lethality  : Yasuo Osakabe https://t.co/dJppDXXTuX",2022-04-08 01:36:04-04,firefox763,INDOPACOM,1,1,0.700,1,0.500,0.250,0,0,0,0,0.222,0.139,0,0.235,0.176,1,1,0.681,1,0.485,0.417,1,1,0.717,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.092,1,0.125,0.062,0,0,0,0,0.167,0.083,
